exam,section,topic,concept
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,BAYESIAN_ALGORITHM,GAUSSIAN_NAIVE_BAYES
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,BAYESIAN_ALGORITHM,MULTINOMIAL_NAIVE_BAYES
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,BAYESIAN_ALGORITHM,NAIVE_BAYES
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,BIAS_VARIANCE_TRADEOFF,BIAS_VARIANCE_TRADEOFF
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,DECISION_TREES,DECISION_TREES
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,DECISION_TREES,REGRESSION_TREES
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,DEEP_LEARNING,CNN
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,DEEP_LEARNING,LSTM
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,DEEP_LEARNING,RNN
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,ENSEMBLE_ALGORITHMS,ADABOOST
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,ENSEMBLE_ALGORITHMS,GRADIENT_BOOSTING_MACHINES
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,ENSEMBLE_ALGORITHMS,RANDOM_FOREST
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,GENERALIZED_LINEAR_MODELS,GENERALIZED_LINEAR_MODELS
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,K-NEAREST_NEIGHBORS,K_NEAREST_NEIGHBORS
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,LINEAR_REGRESSION,GRADIENT_DESCENT
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,LINEAR_REGRESSION,LINEAR_REGRESSION
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,LOGISTIC_REGRESSION,LOGISTIC_REGRESSION
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,NEURAL_NETWORKS,BACK_PROPAGATION
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,NEURAL_NETWORKS,MULTILAYER_PERCEPTRON
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,NEURAL_NETWORKS,STOCHASTIC_GRADIENT_DESCENT
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,PRACTICAL_ISSUES_IN_MACHINE_LEARNING,CROSS_VALIDATION
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,PRACTICAL_ISSUES_IN_MACHINE_LEARNING,SAMPLING
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,REGULARIZATION,ELASTIC_NET
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,REGULARIZATION,LASSO
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,REGULARIZATION,RIDGE_REGRESSION
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,SUPPORT_VECTOR_MACHINES,KERNELS
DATA_SCIENCE_AND_MACHINE_LEARN,SUPERVISED_LEARNING,SUPPORT_VECTOR_MACHINES,SUPPORT_VECTOR_MACHINES
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,ANOMALY_DETECTION,ANOMALY_DETECTION
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,CLUSTERING,HIERARCHICAL_CLUSTERING
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,CLUSTERING,K_MEANS_CLUSTERING
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,CLUSTERING,K_MEDIAN_CLUSTERING
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,DIMENSIONALITY_REDUCTION,LINEAR_DISCRIMINANT_ANALYSIS__LDA
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,DIMENSIONALITY_REDUCTION,PARTIAL_LEAST_SQUARES_REGRESSION__PLSR
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,DIMENSIONALITY_REDUCTION,PRINCIPAL_COMPONENT_ANALYSIS
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,DIMENSIONALITY_REDUCTION,PRINCIPAL_COMPONENT_REGRESSION__PCR
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,EXPECTATION_MAXIMISATION,EXPECTATION_MAXIMISATION_EM
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,GENERATIVE_MODELS,GENERATIVE_MODELS
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,RECOMMENDER_SYSTEMS,COLLABORATIVE_FILTERING
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,RECOMMENDER_SYSTEMS,CONTENT_BASED_RECOMMENDATIONS
DATA_SCIENCE_AND_MACHINE_LEARN,UNSUPERVISED_LEARNING,RECOMMENDER_SYSTEMS,MATRIX_FACTORIZATION
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,CLOZE_TEST,VOCABULARY
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,COMPREHENSION_PASSAGE,INFERENCE__COMPREHENSION_PASSAGE
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,COMPREHENSION_PASSAGE,VOCABULARY__COMPREHENSION_PASSAGE
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,FILL_IN_THE_BLANKS,VOCABULARY__FILL_IN_THE_BLANKS
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,PHRASE_REPLACEMENT,GRAMMAR__PHRASE_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,ACTIVE_PASSIVE_VOICE__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,ADJECTIVES__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,ADVERBS__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,ARTICLES__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,NOUN_PRONOUN__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,SUBJECT_VERB_AGREEMENT__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,SPOT_THE_ERROR,TENSES__SPOT_THE_ERROR
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,ACTIVE_PASSIVE_VOICE__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,ADJECTIVES__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,ADVERBS__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,ARTICLES__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,NOUN_PRONOUN__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,SUBJECT_VERB_AGREEMENT__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,TENSES__WORD_REPLACEMENT
IBPS_PO_PRELIMS,ENGLISH_LANGUAGE,WORD_REPLACEMENT,VOCABULARY__WORD_REPLACEMENT
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,AVERAGES,AVERAGES
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,AVERAGES,SIMPLE_AVERAGE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,DATA_INTERPRETATION,BAR_GRAPH
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,DATA_INTERPRETATION,HISTOGRAM
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,DATA_INTERPRETATION,PIE_CHART
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,DATA_INTERPRETATION,TABLE
IBPS_PO_PRELIMS,QUANTITATIVE_APTITUDE,INTEREST,COMPOUND_INTEREST
